0.0000000000,0.0589828105,-0.3516065955,0.0691539277,-2.0082871502,0.0238902710,1.6574340504,-0.6691970752,0.4420699178,0.0638501016,0.4399551825
0.0100000000,0.0589832690,-0.3515958698,0.0691554720,-2.0082728352,0.0238900881,1.6574302858,-0.6691949181,0.4420730221,0.0638514477,0.4399568939
0.0200000000,0.0589873974,-0.3515493842,0.0691659998,-2.0082152923,0.0238906821,1.6574188027,-0.6691803179,0.4420863715,0.0638603017,0.4399625376
0.0300000000,0.0589975493,-0.3514752025,0.0691892098,-2.0081311027,0.0238938859,1.6574086083,-0.6691482521,0.4421074909,0.0638794539,0.4399685274
0.0400000000,0.0590139336,-0.3513820180,0.0692249106,-2.0080335343,0.0239001807,1.6574044727,-0.6690990320,0.4421338475,0.0639086286,0.4399728169
0.0500000000,0.0590393030,-0.3512547312,0.0692790825,-2.0079075006,0.0239106040,1.6574064305,-0.6690244301,0.4421697221,0.0639526878,0.4399758126
0.0600000000,0.0590728896,-0.3510951154,0.0693502301,-2.0077542232,0.0239247229,1.6574138585,-0.6689265041,0.4422146497,0.0640104326,0.4399776809
0.0700000000,0.0591116737,-0.3509163363,0.0694320160,-2.0075857795,0.0239412363,1.6574255876,-0.6688139612,0.4422649444,0.0640767517,0.4399784909
0.0800000000,0.0591560991,-0.3507150822,0.0695254555,-2.0073983149,0.0239602696,1.6574410656,-0.6686853906,0.4423215425,0.0641524882,0.4399785432
0.0900000000,0.0592062279,-0.3504895975,0.0696307750,-2.0071893494,0.0239817667,1.6574595316,-0.6685404667,0.4423849419,0.0642378453,0.4399781656
0.1000000000,0.0592619543,-0.3502392119,0.0697478251,-2.0069575810,0.0240056138,1.6574803206,-0.6683793809,0.4424553327,0.0643327190,0.4399776194
0.1100000000,0.0593231181,-0.3499639374,0.0698763115,-2.0067025770,0.0240316923,1.6575029641,-0.6682025252,0.4425327097,0.0644368843,0.4399770730
0.1200000000,0.0593895526,-0.3496641725,0.0700159025,-2.0064244670,0.0240598959,1.6575271788,-0.6680103448,0.4426169564,0.0645500819,0.4399766144
0.1300000000,0.0594611002,-0.3493405069,0.0701662694,-2.0061236967,0.0240901317,1.6575528121,-0.6678032814,0.4427079016,0.0646720526,0.4399762775
0.1400000000,0.0595358951,-0.3490042423,0.0703232804,-2.0058121069,0.0241217468,1.6575804251,-0.6675870216,0.4428023389,0.0647994307,0.4399755422
0.1500000000,0.0596169659,-0.3486385109,0.0704935299,-2.0054726159,0.0241558106,1.6576098020,-0.6673524726,0.4429050307,0.0649375857,0.4399749337
0.1600000000,0.0597030643,-0.3482481146,0.0706744387,-2.0051091500,0.0241917451,1.6576400144,-0.6671031672,0.4430146292,0.0650844479,0.4399746606
0.1700000000,0.0597921355,-0.3478461135,0.0708614148,-2.0047356115,0.0242288710,1.6576719441,-0.6668454310,0.4431274261,0.0652362688,0.4399740399
0.1800000000,0.0598871235,-0.3474156092,0.0710608998,-2.0043346869,0.0242681828,1.6577051606,-0.6665703723,0.4432481928,0.0653983026,0.4399736698
0.1900000000,0.0599867079,-0.3469622293,0.0712701292,-2.0039113040,0.0243091012,1.6577389226,-0.6662817823,0.4433753452,0.0655683239,0.4399736685
0.2000000000,0.0600889762,-0.3464989490,0.0714847728,-2.0034796000,0.0243510429,1.6577744488,-0.6659856330,0.4435051967,0.0657427875,0.4399732345
0.2100000000,0.0601967523,-0.3460087184,0.0717110648,-2.0030217675,0.0243948996,1.6578109462,-0.6656733081,0.4436425642,0.0659267912,0.4399730971
0.2200000000,0.0603071895,-0.3455081272,0.0719427506,-2.0025549055,0.0244396957,1.6578489442,-0.6653534306,0.4437827548,0.0661152372,0.4399726217
0.2300000000,0.0604229135,-0.3449810143,0.0721856439,-2.0020619861,0.0244862279,1.6578875344,-0.6650179563,0.4439303316,0.0663128872,0.4399725522
0.2400000000,0.0605410884,-0.3444444898,0.0724334759,-2.0015608842,0.0245335667,1.6579275158,-0.6646755358,0.4440804533,0.0665146224,0.4399721450
0.2500000000,0.0606642888,-0.3438824058,0.0726919662,-2.0010344726,0.0245824632,1.6579678609,-0.6643182485,0.4442376785,0.0667251336,0.4399721825
0.2600000000,0.0607897383,-0.3433119600,0.0729549482,-2.0005009005,0.0246320444,1.6580095655,-0.6639546114,0.4443971414,0.0669393776,0.4399718514
0.2700000000,0.0609184843,-0.3427276914,0.0732246687,-1.9999548456,0.0246826532,1.6580527752,-0.6635815124,0.4445603734,0.0671591887,0.4399712260
0.2800000000,0.0610520533,-0.3421175703,0.0735046824,-1.9993825485,0.0247345833,1.6580956714,-0.6631940048,0.4447307805,0.0673875151,0.4399712722
0.2900000000,0.0611875476,-0.3415003335,0.0737885021,-1.9988040832,0.0247869896,1.6581396562,-0.6628010622,0.4449030605,0.0676190373,0.4399709965
0.3000000000,0.0613260142,-0.3408705951,0.0740783671,-1.9982142470,0.0248402102,1.6581849212,-0.6623995802,0.4450787223,0.0678555843,0.4399704507
0.3100000000,0.0614689285,-0.3402164248,0.0743777323,-1.9975992880,0.0248944959,1.6582295516,-0.6619847432,0.4452611417,0.0681000282,0.4399706276
0.3200000000,0.0616134452,-0.3395567845,0.0746801924,-1.9969797522,0.0249490750,1.6582752085,-0.6615654254,0.4454449561,0.0683471044,0.4399704426
0.3300000000,0.0617606107,-0.3388860936,0.0749879974,-1.9963501568,0.0250042669,1.6583219938,-0.6611385037,0.4456317290,0.0685986543,0.4399699833
0.3400000000,0.0619118363,-0.3381925457,0.0753044775,-1.9956967545,0.0250602736,1.6583678668,-0.6606993278,0.4458247998,0.0688574541,0.4399702791
0.3500000000,0.0620643578,-0.3374951001,0.0756233767,-1.9950403043,0.0251164045,1.6584147152,-0.6602565800,0.4460188098,0.0691183490,0.4399701733
0.3600000000,0.0622192062,-0.3367880437,0.0759469248,-1.9943750939,0.0251729545,1.6584625385,-0.6598071608,0.4462153601,0.0693831684,0.4399697919
0.3700000000,0.0623763761,-0.3360704454,0.0762751707,-1.9936997468,0.0252298489,1.6585108666,-0.6593509881,0.4464147148,0.0696519678,0.4399693245
0.3800000000,0.0625371246,-0.3353316355,0.0766110886,-1.9930017558,0.0252872339,1.6585577676,-0.6588838979,0.4466198861,0.0699272335,0.4399697241
0.3900000000,0.0626987459,-0.3345909558,0.0769485062,-1.9923026171,0.0253445202,1.6586055018,-0.6584144784,0.4468254128,0.0702038611,0.4399697033
0.4000000000,0.0628622602,-0.3338426045,0.0772896374,-1.9915964656,0.0254019797,1.6586540006,-0.6579396470,0.4470329200,0.0704836710,0.4399694114
0.4100000000,0.0630276523,-0.3330856963,0.0776345118,-1.9908819635,0.0254595364,1.6587027863,-0.6574593493,0.4472426595,0.0707667024,0.4399690400
0.4200000000,0.0631948176,-0.3323203962,0.0779829260,-1.9901590745,0.0255171178,1.6587516450,-0.6569738578,0.4474545834,0.0710527971,0.4399686589
0.4300000000,0.0633649577,-0.3315363758,0.0783377297,-1.9894156347,0.0255748294,1.6587986473,-0.6564791724,0.4476716034,0.0713443438,0.4399692009
0.4400000000,0.0635354438,-0.3307531003,0.0786928871,-1.9886735601,0.0256321968,1.6588463636,-0.6559837191,0.4478882329,0.0716363302,0.4399692844
0.4500000000,0.0637072800,-0.3299646398,0.0790505902,-1.9879267544,0.0256894608,1.6588946169,-0.6554844389,0.4481061316,0.0719305642,0.4399690965
0.4600000000,0.0638804420,-0.3291701428,0.0794108513,-1.9871739001,0.0257465453,1.6589429150,-0.6549813031,0.4483255430,0.0722270700,0.4399688342
0.4700000000,0.0640548243,-0.3283697992,0.0797734658,-1.9864149952,0.0258033848,1.6589910536,-0.6544745892,0.4485464136,0.0725256861,0.4399685648
0.4800000000,0.0642303163,-0.3275640414,0.0801382031,-1.9856503904,0.0258599258,1.6590389441,-0.6539646120,0.4487686211,0.0728262273,0.4399683075
0.4900000000,0.0644068080,-0.3267533634,0.0805048294,-1.9848805311,0.0259161197,1.6590865328,-0.6534516925,0.4489920262,0.0731285044,0.4399680677
0.5000000000,0.0645841894,-0.3259382753,0.0808731104,-1.9841058894,0.0259719205,1.6591337768,-0.6529361528,0.4492164852,0.0734323274,0.4399678469
0.5100000000,0.0647623506,-0.3251192927,0.0812428123,-1.9833269464,0.0260272841,1.6591806367,-0.6524183154,0.4494418532,0.0737375057,0.4399676456
0.5200000000,0.0649411822,-0.3242969333,0.0816137018,-1.9825441872,0.0260821683,1.6592270753,-0.6518985026,0.4496679850,0.0740438493,0.4399674642
0.5300000000,0.0651205743,-0.3234717167,0.0819855459,-1.9817581001,0.0261365326,1.6592730568,-0.6513770371,0.4498947355,0.0743511676,0.4399673027
0.5400000000,0.0653004177,-0.3226441634,0.0823581125,-1.9809691760,0.0261903384,1.6593185466,-0.6508542410,0.4501219595,0.0746592703,0.4399671614
0.5500000000,0.0654806027,-0.3218147956,0.0827311698,-1.9801779084,0.0262435488,1.6593635117,-0.6503304370,0.4503495116,0.0749679670,0.4399670404
0.5600000000,0.0656610202,-0.3209841366,0.0831044867,-1.9793847937,0.0262961286,1.6594079203,-0.6498059473,0.4505772467,0.0752770675,0.4399669398
0.5700000000,0.0658415607,-0.3201527112,0.0834778327,-1.9785903307,0.0263480447,1.6594517419,-0.6492810942,0.4508050195,0.0755863812,0.4399668599
0.5800000000,0.0660221151,-0.3193210454,0.0838509777,-1.9777950211,0.0263992655,1.6594949476,-0.6487562001,0.4510326848,0.0758957179,0.4399668008
0.5900000000,0.0662025741,-0.3184896664,0.0842236924,-1.9769993690,0.0264497614,1.6595375096,-0.6482315872,0.4512600974,0.0762048871,0.4399667626
0.6000000000,0.0663828287,-0.3176591031,0.0845957480,-1.9762038814,0.0264995046,1.6595794016,-0.6477075778,0.4514871120,0.0765136986,0.4399667456
0.6100000000,0.0665627697,-0.3168298854,0.0849669162,-1.9754090679,0.0265484691,1.6596205988,-0.6471844941,0.4517135834,0.0768219619,0.4399667498
0.6200000000,0.0667422880,-0.3160025447,0.0853369693,-1.9746154409,0.0265966306,1.6596610776,-0.6466626583,0.4519393664,0.0771294867,0.4399667756
0.6300000000,0.0669212747,-0.3151776137,0.0857056803,-1.9738235153,0.0266439669,1.6597008159,-0.6461423927,0.4521643157,0.0774360827,0.4399668229
0.6400000000,0.0670996206,-0.3143556263,0.0860728227,-1.9730338088,0.0266904573,1.6597397928,-0.6456240193,0.4523882862,0.0777415594,0.4399668921
0.6500000000,0.0672772167,-0.3135371179,0.0864381705,-1.9722468416,0.0267360829,1.6597779889,-0.6451078604,0.4526111326,0.0780457266,0.4399669832
0.6600000000,0.0674539540,-0.3127226251,0.0868014983,-1.9714631367,0.0267808268,1.6598153862,-0.6445942382,0.4528327097,0.0783483938,0.4399670965
0.6700000000,0.0676297235,-0.3119126857,0.0871625814,-1.9706832195,0.0268246736,1.6598519680,-0.6440834746,0.4530528722,0.0786493707,0.4399672320
0.6800000000,0.0678044161,-0.3111078390,0.0875211954,-1.9699076180,0.0268676097,1.6598877189,-0.6435758920,0.4532714750,0.0789484670,0.4399673900
0.6900000000,0.0679779228,-0.3103086253,0.0878771167,-1.9691368629,0.0269096231,1.6599226248,-0.6430718123,0.4534883727,0.0792454922,0.4399675707
0.7000000000,0.0681501344,-0.3095155863,0.0882301220,-1.9683714873,0.0269507038,1.6599566730,-0.6425715578,0.4537034202,0.0795402560,0.4399677741
0.7100000000,0.0683209418,-0.3087292650,0.0885799887,-1.9676120266,0.0269908429,1.6599898520,-0.6420754504,0.4539164722,0.0798325681,0.4399680005
0.7200000000,0.0684902359,-0.3079502054,0.0889264946,-1.9668590188,0.0270300335,1.6600221516,-0.6415838124,0.4541273835,0.0801222381,0.4399682499
0.7300000000,0.0686579075,-0.3071789527,0.0892694181,-1.9661130041,0.0270682702,1.6600535627,-0.6410969658,0.4543360088,0.0804090756,0.4399685227
0.7400000000,0.0688238473,-0.3064160534,0.0896085380,-1.9653745251,0.0271055490,1.6600840776,-0.6406152327,0.4545422029,0.0806928902,0.4399688188
0.7500000000,0.0689866822,-0.3056725207,0.0899406956,-1.9646565464,0.0271419257,1.6601157383,-0.6401431321,0.4547429152,0.0809709912,0.4399682365
0.7600000000,0.0691487451,-0.3049303611,0.0902712269,-1.9639381921,0.0271774069,1.6601455205,-0.6396730641,0.4549431372,0.0812478972,0.4399681477
0.7700000000,0.0693088453,-0.3041963043,0.0905976018,-1.9632264112,0.0272118502,1.6601736475,-0.6392086303,0.4551410274,0.0815214820,0.4399683857
0.7800000000,0.0694667822,-0.3034723023,0.0909193404,-1.9625236125,0.0272453037,1.6602005957,-0.6387505281,0.4553360456,0.0817913274,0.4399687524
0.7900000000,0.0696224406,-0.3027592606,0.0912361874,-1.9618308756,0.0272777911,1.6602265439,-0.6382991331,0.4555279461,0.0820572088,0.4399691753
0.8000000000,0.0697744167,-0.3020682486,0.0915449380,-1.9611612298,0.0273093929,1.6602535426,-0.6378590451,0.4557136740,0.0823163897,0.4399687628
0.8100000000,0.0699250975,-0.3013814534,0.0918509953,-1.9604941195,0.0273401062,1.6602787154,-0.6374225506,0.4558981519,0.0825734506,0.4399688098
0.8200000000,0.0700732805,-0.3007054438,0.0921518309,-1.9598362655,0.0273697980,1.6603022143,-0.6369932602,0.4560795927,0.0828262625,0.4399691871
0.8300000000,0.0702174065,-0.3000527539,0.0924438720,-1.9592025213,0.0273985918,1.6603264671,-0.6365763102,0.4562545392,0.0830717682,0.4399688518
